Squad,# Pl,Age,Poss,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,year
Seattle,28,27.7,,30,330,2700.0,30.0,38,32,70,37,1,2,47.0,2.0,1.27,1.07,2.33,1.23,2.3,2010
Toronto FC,27,26.1,,30,330,2700.0,30.0,33,22,55,30,3,3,58.0,7.0,1.1,0.73,1.83,1.0,1.73,2010
Chicago Fire,27,25.8,,34,374,,,44,30,74,42,2,2,66.0,3.0,1.29,0.88,2.18,1.24,2.12,2011
Chivas USA,27,27.4,,34,374,,,41,30,71,41,0,0,51.0,4.0,1.21,0.88,2.09,1.21,2.09,2011
Colorado Rapids,23,28.3,,34,374,,,44,28,72,41,3,4,56.0,5.0,1.29,0.82,2.12,1.21,2.03,2011
Columbus Crew,26,26.5,,34,374,,,41,24,65,32,9,9,49.0,3.0,1.21,0.71,1.91,0.94,1.65,2011
D.C. United,29,24.8,,34,374,,,49,30,79,41,8,10,43.0,4.0,1.44,0.88,2.32,1.21,2.09,2011
Dynamo,26,26.1,,34,374,,,44,32,76,41,3,3,47.0,7.0,1.29,0.94,2.24,1.21,2.15,2011
FC Dallas,27,27.2,,34,374,,,42,34,76,41,1,2,53.0,4.0,1.24,1.0,2.24,1.21,2.21,2011
LA Galaxy,29,27.3,,34,374,,,46,32,78,42,4,4,52.0,4.0,1.35,0.94,2.29,1.24,2.18,2011
New England,27,26.1,,34,374,,,38,19,57,32,6,7,52.0,10.0,1.12,0.56,1.68,0.94,1.5,2011
NY Red Bulls,31,28.6,,34,374,,,47,42,89,44,3,5,53.0,5.0,1.38,1.24,2.62,1.29,2.53,2011
Philadelphia,23,26.6,,34,374,,,43,32,75,39,4,4,45.0,3.0,1.26,0.94,2.21,1.15,2.09,2011
Portland Timbers,27,25.3,,34,374,,,37,29,66,34,3,5,50.0,3.0,1.09,0.85,1.94,1.0,1.85,2011
Real Salt Lake,27,27.5,,34,374,,,43,31,74,38,5,5,56.0,7.0,1.26,0.91,2.18,1.12,2.03,2011
San Jose,31,27.3,,34,374,,,40,29,69,39,1,2,64.0,5.0,1.18,0.85,2.03,1.15,2.0,2011
Seattle,26,28.0,,34,374,,,54,35,89,48,6,9,61.0,2.0,1.59,1.03,2.62,1.41,2.44,2011
Sporting KC,29,26.4,,34,374,,,48,31,79,44,4,4,50.0,8.0,1.41,0.91,2.32,1.29,2.21,2011
Toronto FC,38,25.1,,34,374,,,36,23,59,34,2,2,52.0,4.0,1.06,0.68,1.74,1.0,1.68,2011
Vancouver,31,26.0,,34,374,,,35,25,60,30,5,6,53.0,5.0,1.03,0.74,1.76,0.88,1.62,2011
Chicago Fire,27,27.4,,34,374,,,46,34,80,44,2,3,46.0,5.0,1.35,1.0,2.35,1.29,2.29,2012
Chivas USA,30,28.0,,34,374,,,24,14,38,21,3,3,53.0,1.0,0.71,0.41,1.12,0.62,1.03,2012
Colorado Rapids,31,28.3,,34,374,,,44,28,72,41,3,4,38.0,3.0,1.29,0.82,2.12,1.21,2.03,2012
Columbus Crew,29,27.0,,34,374,,,44,29,73,42,2,3,54.0,2.0,1.29,0.85,2.15,1.24,2.09,2012
D.C. United,24,25.8,,34,374,,,52,41,93,51,1,2,47.0,3.0,1.53,1.21,2.74,1.5,2.71,2012
Dynamo,25,26.9,,34,374,,,47,33,80,41,6,7,34.0,1.0,1.38,0.97,2.35,1.21,2.18,2012
FC Dallas,27,27.3,,34,374,,,41,24,65,39,2,5,40.0,6.0,1.21,0.71,1.91,1.15,1.85,2012
LA Galaxy,32,28.0,,34,374,,,57,43,100,54,3,4,50.0,2.0,1.68,1.26,2.94,1.59,2.85,2012
Montreal Impact,31,27.9,,34,374,,,44,29,73,35,9,9,55.0,3.0,1.29,0.85,2.15,1.03,1.88,2012
New England,29,26.1,,34,374,,,37,25,62,35,2,2,39.0,3.0,1.09,0.74,1.82,1.03,1.76,2012
NY Red Bulls,27,27.8,,34,374,,,56,40,96,53,3,3,57.0,2.0,1.65,1.18,2.82,1.56,2.74,2012
Philadelphia,31,24.3,,34,374,,,36,18,54,31,5,6,55.0,5.0,1.06,0.53,1.59,0.91,1.44,2012
Portland Timbers,29,26.1,,34,374,,,32,21,53,32,0,0,55.0,2.0,0.94,0.62,1.56,0.94,1.56,2012
Real Salt Lake,24,27.8,,34,374,,,44,31,75,40,4,4,58.0,4.0,1.29,0.91,2.21,1.18,2.09,2012
San Jose,25,27.7,,34,374,,,71,52,123,65,6,8,56.0,5.0,2.09,1.53,3.62,1.91,3.44,2012
Seattle,28,27.5,,34,374,,,48,38,86,46,2,2,52.0,4.0,1.41,1.12,2.53,1.35,2.47,2012
Sporting KC,25,26.7,,34,374,,,41,32,73,38,3,4,52.0,3.0,1.21,0.94,2.15,1.12,2.06,2012
Toronto FC,29,25.5,,34,374,,,36,30,66,36,0,2,53.0,2.0,1.06,0.88,1.94,1.06,1.94,2012
Vancouver,29,28.8,,34,374,,,35,25,60,34,1,1,67.0,3.0,1.03,0.74,1.76,1.0,1.74,2012
Chicago Fire,27,27.0,,34,374,,,45,33,78,42,3,5,,,1.32,0.97,2.29,1.24,2.21,2013
Chivas USA,34,25.2,,34,374,,,28,18,46,27,1,2,0.0,0.0,0.82,0.53,1.35,0.79,1.32,2013
Colorado Rapids,31,25.9,,34,374,,,43,33,76,40,3,4,,,1.26,0.97,2.24,1.18,2.15,2013
Columbus Crew,25,26.4,,34,374,,,41,28,69,35,6,9,,,1.21,0.82,2.03,1.03,1.85,2013
D.C. United,33,25.7,,34,374,,,21,15,36,19,2,3,,,0.62,0.44,1.06,0.56,1.0,2013
Dynamo,25,26.7,,34,374,,,40,35,75,37,3,5,,,1.18,1.03,2.21,1.09,2.12,2013
FC Dallas,25,27.3,,34,374,,,46,34,80,43,3,4,,,1.35,1.0,2.35,1.26,2.26,2013
